Protein1,Protein2,avg_n_models
Q8NEZ3,Q9HBG6,0.984
Q8TDN6,Q9Y3C1,0.984
Q8N0V3,Q9Y2R9,0.983
P62910,Q9H9Y2,0.982
A4D1E9,Q9BT17,0.98
A6NJ78,Q8N0V3,0.979
O14521,Q99643,0.976
O15525,Q16236,0.976
Q14137,Q9GZL7,0.976
O14972,Q7Z3J2,0.971
Q6PI98,Q9Y230,0.971
Q6RFH5,Q9H9Y2,0.97
Q14241,Q15369,0.967
O75683,Q9NQ55,0.964
P0DPA2,Q9H8Y8,0.963
P82930,Q9Y2R5,0.963
Q2NL82,Q96GA3,0.963
A0A286YEX9,P42677,0.962
Q14790,Q58FF7,0.962
Q969F1,Q9Y5Q8,0.961
P61586,Q05655,0.96
P49810,Q9NZ42,0.959
P62424,Q9Y3C1,0.958
O95837,P0C7N5,0.957
P63092,Q96RJ0,0.957
O14746,Q96AP0,0.956
P30049,P36542,0.956
P53803,Q9H9Y6,0.956
Q9HBM6,Q9Y6J9,0.956
O43709,Q9UI30,0.955
Q9NXF1,Q9Y4W2,0.954
P26441,P26992,0.953
Q7Z3J2,Q9UBQ0,0.953
O75947,P24539,0.95
P49810,Q96BI3,0.95
Q6PI98,Q9H9F9,0.95
Q12996,Q9BZE2,0.949
Q8IY81,Q9UHA3,0.949
Q8N0S6,Q96H22,0.948
O14828,Q8TAQ2,0.947
P26441,P42702,0.947
Q15008,Q9UNM6,0.946
O15144,P59998,0.946
O43292,Q9H490,0.946
Q07699,Q9NY46,0.946
Q14181,Q14691,0.946
P30260,Q9UM11,0.945
Q9BR10,Q9UHR4,0.944
P35998,P54578,0.943
Q15369,Q92624,0.943
Q8N8R7,Q96T68,0.943
Q8TDN6,Q99848,0.943
A0A0G2JMI3,Q8IX90,0.942
P46087,Q8TDD1,0.942
Q9NVU7,Q9NXF1,0.941
O95409,P48382,0.94
O60927,P62136,0.94
P15248,Q01113,0.94
Q92643,Q969N2,0.94
P0DTL6,Q96BQ3,0.939
Q96MT3,Q9BVC3,0.939
P62424,Q9NZM5,0.939
Q7Z4G1,Q8N668,0.939
P61011,Q13765,0.938
Q969N2,Q9H490,0.937
A0A075B6I4,Q6ZTI6,0.936
Q92674,Q9H3R5,0.936
P56182,Q9BVP2,0.935
O15315,O43502,0.934
P0DPR3,P22674,0.933
Q14190,Q7RTS3,0.933
O43292,Q969N2,0.933
P61586,Q92974,0.933
Q15369,Q9Y2U9,0.933
Q13948,Q5T7N8,0.932
Q8NFW8,Q9UJW3,0.931
O75717,Q9Y248,0.931
P18577,Q02094,0.931
P01215,P01222,0.929
Q7Z6J9,Q9BSV6,0.929
P04839,P13498,0.928
Q9GZS1,Q9H9Y6,0.928
Q02878,Q9H9Y2,0.927
Q16533,Q92966,0.927
O00541,Q9NZM5,0.926
O14933,P41226,0.926
O76021,Q9BYG3,0.926
O95602,Q9H9Y6,0.926
P06576,P25705,0.926
P46777,Q9H6F5,0.926
P84095,Q92556,0.926
Q12789,Q9Y5Q9,0.926
Q12980,Q8WTW4,0.926
O15446,Q9H9Y6,0.925
O75529,Q8NEM7,0.925
O95602,P61218,0.924
Q14320,Q14562,0.924
Q8WUA4,Q9UKN8,0.924
Q9BVW5,Q9UNS1,0.924
Q16740,Q6PEY1,0.923
Q8N4S9,Q9Y5W9,0.922
P40225,P40238,0.922
Q5JTH9,Q9NSI2,0.922
P63092,Q5T601,0.921
P61218,Q3B726,0.92
A5PLN7,Q5JR98,0.919
O15446,Q9GZS1,0.919
P46087,Q8WTT2,0.919
Q12834,Q86YM7,0.918
P47775,P63092,0.918
O75140,Q8WTW4,0.917
P32246,Q16663,0.917
Q7Z6J9,Q8NCE0,0.917
P21912,P31040,0.915
O43482,Q9NYP9,0.914
O75208,Q99807,0.914
P00995,P07477,0.914
P60059,P61619,0.914
P18859,P24539,0.913
Q15022,Q92800,0.913
Q15050,Q99848,0.913
Q14185,Q9BXA7,0.912
O95602,P19388,0.912
Q06828,Q8TEQ8,0.911
Q8NGH6,Q9NSA3,0.911
O75394,Q96GC5,0.911
Q14145,Q96C00,0.91
P82912,Q9NWT8,0.91
Q96GC5,Q9P015,0.91
P21730,P63096,0.91
Q7Z4L5,Q9P2L0,0.91
A0A0A0MT87,Q9NSP4,0.909
A6NCS4,P62508,0.908
P56545,Q96BR5,0.908
Q14137,Q99848,0.908
Q9BT04,Q9ULD6,0.908
A4D2B8,Q8TE59,0.907
O75486,Q12962,0.907
O95602,Q9NYV6,0.907
P46776,Q99848,0.907
P25116,Q9NRJ5,0.906
Q8N0Z6,Q9BY12,0.906
P82673,Q9NVS2,0.905
O95602,P0DPB6,0.905
Q71F23,Q7L2Z9,0.905
Q8TDD1,Q9BZE4,0.905
Q0P5N6,Q9Y4C5,0.904
Q16534,Q8WYK2,0.904
P62875,Q9H9Y6,0.904
Q9NS61,Q9UK17,0.904
O95478,Q13823,0.903
P29275,P63092,0.903
P36578,Q9BXY0,0.903
Q8TDN6,Q9Y3U8,0.903
A6NKC9,Q99807,0.902
O75971,P36268,0.902
Q96MX0,Q96PD5,0.902
O43543,O75771,0.902
P11912,P40259,0.902
