Protein1,Protein2,Class
Q8NEZ3,Q9HBG6,1
Q8TDN6,Q9Y3C1,1
Q8N0V3,Q9Y2R9,1
P62910,Q9H9Y2,1
A4D1E9,Q9BT17,1
A6NJ78,Q8N0V3,1
O14521,Q99643,1
O15525,Q16236,1
Q14137,Q9GZL7,1
O14972,Q7Z3J2,1
Q6PI98,Q9Y230,1
Q6RFH5,Q9H9Y2,1
Q14241,Q15369,1
O75683,Q9NQ55,1
P0DPA2,Q9H8Y8,0
P82930,Q9Y2R5,0
Q2NL82,Q96GA3,1
A0A286YEX9,P42677,0
Q14790,Q58FF7,0
Q969F1,Q9Y5Q8,1
P61586,Q05655,0
P49810,Q9NZ42,1
P62424,Q9Y3C1,1
O95837,P0C7N5,0
P63092,Q96RJ0,1
O14746,Q96AP0,1
P30049,P36542,1
P53803,Q9H9Y6,1
Q9HBM6,Q9Y6J9,1
O43709,Q9UI30,1
Q9NXF1,Q9Y4W2,1
P26441,P26992,1
Q7Z3J2,Q9UBQ0,1
O75947,P24539,1
P49810,Q96BI3,1
Q6PI98,Q9H9F9,1
Q12996,Q9BZE2,0
Q8IY81,Q9UHA3,1
Q8N0S6,Q96H22,1
O14828,Q8TAQ2,0
P26441,P42702,1
Q15008,Q9UNM6,0
O15144,P59998,1
O43292,Q9H490,1
Q07699,Q9NY46,1
Q14181,Q14691,1
P30260,Q9UM11,1
Q9BR10,Q9UHR4,0
P35998,P54578,1
Q15369,Q92624,1
Q8N8R7,Q96T68,1
Q8TDN6,Q99848,1
A0A0G2JMI3,Q8IX90,0
P46087,Q8TDD1,1
Q9NVU7,Q9NXF1,1
O95409,P48382,0
O60927,P62136,1
P15248,Q01113,1
Q92643,Q969N2,1
P0DTL6,Q96BQ3,0
Q96MT3,Q9BVC3,0
P62424,Q9NZM5,1
Q7Z4G1,Q8N668,1
P61011,Q13765,1
Q969N2,Q9H490,1
A0A075B6I4,Q6ZTI6,0
Q92674,Q9H3R5,1
P56182,Q9BVP2,1
O15315,O43502,1
P0DPR3,P22674,0
Q14190,Q7RTS3,0
O43292,Q969N2,1
P61586,Q92974,1
Q15369,Q9Y2U9,1
Q13948,Q5T7N8,0
Q8NFW8,Q9UJW3,0
O75717,Q9Y248,1
P18577,Q02094,1
P01215,P01222,1
Q7Z6J9,Q9BSV6,1
P04839,P13498,1
Q9GZS1,Q9H9Y6,1
Q02878,Q9H9Y2,1
Q16533,Q92966,1
O00541,Q9NZM5,1
O14933,P41226,1
O76021,Q9BYG3,1
O95602,Q9H9Y6,1
P06576,P25705,1
P46777,Q9H6F5,1
P84095,Q92556,1
Q12789,Q9Y5Q9,1
Q12980,Q8WTW4,1
O15446,Q9H9Y6,1
O75529,Q8NEM7,1
O95602,P61218,1
Q14320,Q14562,1
Q8WUA4,Q9UKN8,1
Q9BVW5,Q9UNS1,1
Q16740,Q6PEY1,0
Q8N4S9,Q9Y5W9,0
P40225,P40238,1
Q5JTH9,Q9NSI2,1
P63092,Q5T601,1
P61218,Q3B726,1
A5PLN7,Q5JR98,0
O15446,Q9GZS1,1
P46087,Q8WTT2,1
Q12834,Q86YM7,0
P47775,P63092,1
O75140,Q8WTW4,1
P32246,Q16663,1
Q7Z6J9,Q8NCE0,1
P21912,P31040,1
O43482,Q9NYP9,1
O75208,Q99807,1
P00995,P07477,1
P60059,P61619,1
P18859,P24539,1
Q15022,Q92800,1
Q15050,Q99848,1
Q14185,Q9BXA7,0
O95602,P19388,1
Q06828,Q8TEQ8,0
Q8NGH6,Q9NSA3,0
O75394,Q96GC5,0
Q14145,Q96C00,0
P82912,Q9NWT8,0
Q96GC5,Q9P015,0
P21730,P63096,1
Q7Z4L5,Q9P2L0,1
A0A0A0MT87,Q9NSP4,0
A6NCS4,P62508,0
P56545,Q96BR5,0
Q14137,Q99848,1
Q9BT04,Q9ULD6,1
A4D2B8,Q8TE59,0
O75486,Q12962,1
O95602,Q9NYV6,1
P46776,Q99848,1
P25116,Q9NRJ5,0
Q8N0Z6,Q9BY12,1
P82673,Q9NVS2,0
O95602,P0DPB6,1
Q71F23,Q7L2Z9,1
Q8TDD1,Q9BZE4,1
Q0P5N6,Q9Y4C5,0
Q16534,Q8WYK2,0
P62875,Q9H9Y6,1
Q9NS61,Q9UK17,1
O95478,Q13823,1
P29275,P63092,1
P36578,Q9BXY0,1
Q8TDN6,Q9Y3U8,1
A6NKC9,Q99807,0
O75971,P36268,0
Q96MX0,Q96PD5,0
O43543,O75771,1
P11912,P40259,1
Q9H1A4,Q9UM11,1
P62826,Q9UKX7,1
Q6ZSM3,Q8NA54,0
Q8NG81,Q9UBR4,0
P26992,Q9UBD9,1
Q96S52,Q9H490,1
Q01113,Q9NX63,0
O75643,Q9NZ63,1
Q86UE8,Q9Y294,1
Q15173,Q8NFU1,0
O75616,Q9Y2R9,1
P62877,Q13617,1
A0A087WT02,Q02383,0
P20042,P47813,1
Q15477,Q6PGP7,1
Q16394,Q93063,1
P31277,Q8NEK5,0
Q96NU1,Q9HBM1,0
A4GXA9,Q96NY9,1
P09471,Q16581,1
P49366,P63241,1
P61077,Q9C040,1
P62877,Q14999,1
Q9GZS1,Q9P1U0,1
O94782,P62987,1
P57081,Q9UBP6,1
P16473,P63092,1
O60779,P49841,0
Q12789,Q969F1,1
Q68CP9,Q9NPI1,1
O95602,P52434,1
P30411,P50148,1
Q60I27,Q9BZI1,0
O75380,P51970,0
P01876,P24071,1
P61254,Q9Y3C1,1
Q5EE01,Q96BT3,1
Q9BYF1,Q9NP91,1
Q7Z5G4,Q9Y397,1
A6NJ64,Q8WXB1,0
P00846,P24539,1
O00418,Q2L4Q9,0
Q12834,Q86W50,0
O75182,Q92769,1
O95602,Q9P1U0,1
Q14137,Q9NVP1,1
A0A0B4J277,Q9UPP2,0
Q01973,Q6ZT12,0
O95602,Q3B726,1
Q15650,Q8N3C0,1
O43502,O75771,1
P52948,Q99567,1
P59998,P61160,1
A0A0B4J240,Q5TGL8,0
O60894,P30988,1
P19447,Q13888,1
P19474,Q96B02,1
O15143,P59998,1
Q96GA3,Q9BVS4,1
Q16819,Q9UGM5,1
O00541,P62750,1
P18621,Q9H9Y2,1
Q9BS16,Q9NSP4,1
Q96EY5,Q96MF2,0
Q92674,Q9BS16,1
Q92674,Q9BU64,1
Q96H22,Q9NSP4,1
Q9NQ55,Q9Y3B9,1
Q8NCE0,Q8WW01,1
O75553,Q9UPZ9,0
Q96BK5,Q9Y4K3,0
O43674,O95169,0
Q8IXJ9,Q92560,1
Q13094,Q9BWG6,0
P56182,Q8TDN6,1
A0A0A0MT70,Q9UPZ9,0
P14314,Q14697,1
Q16514,Q96BN2,1
Q6IPU0,Q9BU64,1
Q8NCE0,Q9BSV6,1
Q9H9A5,Q9UKZ1,1
O94874,Q9Y3C8,1
Q9BUR4,Q9NX24,1
P57105,Q9ULK5,1
Q3Y452,Q9H628,0
